Thomas S. Huang , Xiang Sean Zhou
Kewen Wang , Torsten Schaub
Alexandre Riazanov , Andrei Voronkov
Eyal Amir , Sheila A. McIlraith
Nicola Leone , Wolfgang Faber
Gerald Pfeifer , Wolfgang Faber
Gerald Pfeifer , Nicola Leone
Michael Fink , Thomas Eiter
Giuliana Sabbatini , Thomas Eiter
Hans Tompits , Thomas Eiter
Giuliana Sabbatini , Michael Fink
Hans Tompits , Michael Fink
Giuliana Sabbatini , Hans Tompits
Fangzhen Lin , Jia-Huai You
Silja Renooij , Simon Parsons
Linda C. van der Gaag , Silja Renooij
Linda C. van der Gaag , Simon Parsons
Carlos Guestrin , Daphne Koller
Carlos Guestrin , Ronald Parr
Daphne Koller , Ronald Parr
Kee-Eung Kim , Thomas Dean
Craig Boutilier , Raymond Reiter
Bob Price , Craig Boutilier
Bob Price , Raymond Reiter
Abdel-Illah Mouaddib , St&eacute;phane Cardon
Shlomo Zilberstein , St&eacute;phane Cardon
Richard Washington , St&eacute;phane Cardon
Abdel-Illah Mouaddib , Shlomo Zilberstein
Abdel-Illah Mouaddib , Richard Washington
Richard Washington , Shlomo Zilberstein
Eric A. Hansen , Rong Zhou
Lluis Godo , Petr H&aacute;jek
Francesc Esteva , Lluis Godo
Francesc Esteva , Petr H&aacute;jek
Hanna Pasula , Stuart J. Russell
Kenneth McGarry , Stefan Wermter
John MacIntyre , Kenneth McGarry
John MacIntyre , Stefan Wermter
Benjamin W. Wah , Minglun Qian
Fredrik Lin&aring;ker , Henrik Jacobsson
James N. K. Liu , Raymond S. T. Lee
Eric C. C. Tsang , Shenshan Qiu
Daniel S. Yeung , Shenshan Qiu
Shenshan Qiu , Xizhao Wang
Daniel S. Yeung , Eric C. C. Tsang
Eric C. C. Tsang , Xizhao Wang
Daniel S. Yeung , Xizhao Wang
Jianxin Wu , Zhi-Hua Zhou
Yuan Jiang , Zhi-Hua Zhou
Shifu Chen , Zhi-Hua Zhou
Jianxin Wu , Yuan Jiang
Jianxin Wu , Shifu Chen
Shifu Chen , Yuan Jiang
Chew Lim Tan , Henry Wai Kit Chia
Daniel S. Yeung , Xuequan Sun
Daniel S. Yeung , Xiaoqin Zeng
Xiaoqin Zeng , Xuequan Sun
David Wolpert , Joseph Sill
David Wolpert , Kagan Tumer
Joseph Sill , Kagan Tumer
Bikramjit Banerjee , Sandip Sen
Bikramjit Banerjee , Jing Peng
Jing Peng , Sandip Sen
Alain Dutech , Olivier Buffet
Alain Dutech , Fran&ccedil;ois Charpillet
Fran&ccedil;ois Charpillet , Olivier Buffet
Andrew G. Barto , Michael T. Rosenstein
Floriana Esposito , Nicola Fanizzi
Floriana Esposito , Stefano Ferilli
Floriana Esposito , Giovanni Semeraro
Nicola Fanizzi , Stefano Ferilli
Giovanni Semeraro , Nicola Fanizzi
Giovanni Semeraro , Stefano Ferilli
Luc De Raedt , Stefan Kramer
Daphne Koller , Simon Tong
Benjamin Taskar , Eran Segal
Benjamin Taskar , Daphne Koller
Daphne Koller , Eran Segal
Corin R. Anderson , Pedro Domingos
Corin R. Anderson , Daniel S. Weld
Daniel S. Weld , Pedro Domingos
Haym Hirsh , Sofus A. Macskassy
Arunava Banerjee , Sofus A. Macskassy
Aynur A. Dayanik , Sofus A. Macskassy
Arunava Banerjee , Haym Hirsh
Aynur A. Dayanik , Haym Hirsh
Arunava Banerjee , Aynur A. Dayanik
Joost N. Kok , Siegfried Nijssen
Guy W. Mineau , Pascal Soucy
Alice X. Zheng , Andrew Y. Ng
Andrew Y. Ng , Michael I. Jordan
Alice X. Zheng , Michael I. Jordan
Foster J. Provost , Maytal Saar-Tsechansky
Alessandro Serra , Attilio Giordana
Alessandro Serra , Lorenza Saitta
Attilio Giordana , Lorenza Saitta
Alessandro Sperduti , Fabio Aiolli
Jihie Kim , Yolanda Gil
Moshe Tennenholtz , Ronen I. Brafman
Florent Serre , Fr&eacute;d&eacute;rick Garcia
Gregory Z. Grudic , Lyle H. Ungar
Raymond J. Mooney , Un Yong Nahm
David W. Aha , Rosina Weber
David W. Aha , H&eacute;ctor Mu&ntilde;oz-Avila
David W. Aha , Len Breslow
David W. Aha , Kalyan Moy Gupta
H&eacute;ctor Mu&ntilde;oz-Avila , Rosina Weber
Len Breslow , Rosina Weber
Kalyan Moy Gupta , Rosina Weber
H&eacute;ctor Mu&ntilde;oz-Avila , Len Breslow
H&eacute;ctor Mu&ntilde;oz-Avila , Kalyan Moy Gupta
Kalyan Moy Gupta , Len Breslow
David W. Aha , H&eacute;ctor Mu&ntilde;oz-Avila
Dana S. Nau , H&eacute;ctor Mu&ntilde;oz-Avila
H&eacute;ctor Mu&ntilde;oz-Avila , Rosina Weber
H&eacute;ctor Mu&ntilde;oz-Avila , Len Breslow
Fusun Yaman , H&eacute;ctor Mu&ntilde;oz-Avila
Dana S. Nau , David W. Aha
David W. Aha , Rosina Weber
David W. Aha , Len Breslow
David W. Aha , Fusun Yaman
Dana S. Nau , Rosina Weber
Dana S. Nau , Len Breslow
Dana S. Nau , Fusun Yaman
Len Breslow , Rosina Weber
Fusun Yaman , Rosina Weber
Fusun Yaman , Len Breslow
Luca Spalazzi , Maurizio Panti
Loris Penserini , Maurizio Panti
Loris Penserini , Luca Spalazzi
Jacek Jarmulak , Susan Craw
Jacek Jarmulak , Ray Rowe
Ray Rowe , Susan Craw
Manuela M. Veloso , Michael H. Bowling
Brian Milch , Daphne Koller
Gabriele M. T. D'Eleuterio , Tim D. Barfoot
Piotr J. Gmytrasiewicz , Sanguk Noh
Damian A. Isla , Robert C. Burke
Damian A. Isla , Marc Downie
Bruce Blumberg , Damian A. Isla
Marc Downie , Robert C. Burke
Bruce Blumberg , Robert C. Burke
Bruce Blumberg , Marc Downie
Berardina De Carolis , Catherine Pelachaud
Berardina De Carolis , Isabella Poggi
Berardina De Carolis , Fiorella de Rosis
Catherine Pelachaud , Isabella Poggi
Catherine Pelachaud , Fiorella de Rosis
Fiorella de Rosis , Isabella Poggi
Andrew Garland , Richard Alterman
Moshe Tennenholtz , Yoav Shoham
Makoto Yokoo , Yuko Sakurai
Makoto Yokoo , Shigeo Matsubara
Shigeo Matsubara , Yuko Sakurai
Makoto Yokoo , Yuko Sakurai
Makoto Yokoo , Shigeo Matsubara
Shigeo Matsubara , Yuko Sakurai
Subhash Suri , Tuomas Sandholm
Andrew Gilpin , Tuomas Sandholm
David Levine , Tuomas Sandholm
Andrew Gilpin , Subhash Suri
David Levine , Subhash Suri
Andrew Gilpin , David Levine
Anna Goy , Liliana Ardissono
Giovanna Petrone , Liliana Ardissono
Liliana Ardissono , Marino Segnan
Anna Goy , Giovanna Petrone
Anna Goy , Marino Segnan
Giovanna Petrone , Marino Segnan
Joanna Bryson , Lynn Andrea Stein
Costas Tsatsoulis , Leen-Kiat Soh
Rina Azoulay-Schwartz , Sarit Kraus
Jianwen Yin , John Yen
John Yen , Thomas R. Ioerger
John Yen , Michael S. Miller
Dianxiang Xu , John Yen
John Yen , Richard A. Volz
Jianwen Yin , Thomas R. Ioerger
Jianwen Yin , Michael S. Miller
Dianxiang Xu , Jianwen Yin
Jianwen Yin , Richard A. Volz
Michael S. Miller , Thomas R. Ioerger
Dianxiang Xu , Thomas R. Ioerger
Richard A. Volz , Thomas R. Ioerger
Dianxiang Xu , Michael S. Miller
Michael S. Miller , Richard A. Volz
Dianxiang Xu , Richard A. Volz
Subhash Suri , Tuomas Sandholm
Makoto Yokoo , William E. Walsh
Katsutoshi Hirayama , William E. Walsh
Michael P. Wellman , William E. Walsh
Katsutoshi Hirayama , Makoto Yokoo
Makoto Yokoo , Michael P. Wellman
Katsutoshi Hirayama , Michael P. Wellman
David C. Parkes , Jayant Kalagnanam
David C. Parkes , Marta Eso
Jayant Kalagnanam , Marta Eso
James E. Hanson , Rajarshi Das
Jeffrey O. Kephart , Rajarshi Das
Gerald Tesauro , Rajarshi Das
James E. Hanson , Jeffrey O. Kephart
Gerald Tesauro , James E. Hanson
Gerald Tesauro , Jeffrey O. Kephart
Christopher G. Healey , Robert St. Amant
Anthony Jameson , Frank Wittig
Catholijn M. Jonker , Jan Treur
Francisco Toledo , Luis A. Garc&iacute;a
Craig Boutilier , Holger H. Hoos
Fatma Ozcan , V. S. Subrahmanian
Alexander G. Hauptmann , Rong Jin
Kalina Bontcheva , Yorick Wilks
Charles B. Callaway , James C. Lester
Dan Roth , Wen-tau Yih
Mark Craven , Soumya Ray
Dennis Nilsson , Jacob Goldberger
Alessandro Moschitti , Roberto Basili
Maria Teresa Pazienza , Roberto Basili
Alessandro Moschitti , Maria Teresa Pazienza
Cristina Conati , Giuseppe Carenini
Giuseppe Carenini , Johanna D. Moore
Joseph Bockhorst , Mark Craven
Chung-hye Han , Fei Xia
Fei Xia , Martha Stone Palmer
Aravind K. Joshi , Fei Xia
Chung-hye Han , Martha Stone Palmer
Aravind K. Joshi , Chung-hye Han
Aravind K. Joshi , Martha Stone Palmer
Alberto Finzi , Fiora Pirri
Lisa Meeden , Mitchell A. Potter
Alan C. Schultz , Mitchell A. Potter
Alan C. Schultz , Lisa Meeden
Arancha Casal , Jeremy Kubica
Jeremy Kubica , Tad Hogg
Arancha Casal , Tad Hogg
Antony Galton , Richard C. Meathrel
Christine Alvarado , Randall Davis
Hiroshi Ishiguro , Takuichi Nishimura
Ramana Isukapalli , Russell Greiner
Huizhong Long , Wee Kheng Leow
Philippe Mulhem , Wee Kheng Leow
Philippe Mulhem , Yoong Keok Lee
Wee Kheng Leow , Yoong Keok Lee
Eduardo F. Morales , Leonardo Romero
Leonardo Romero , Luis Enrique Sucar
Eduardo F. Morales , Luis Enrique Sucar
Kazuhiro Nakadai , Ken-ichi Hidai
Hiroshi Mizoguchi , Kazuhiro Nakadai
Hiroshi G. Okuno , Kazuhiro Nakadai
Hiroaki Kitano , Kazuhiro Nakadai
Hiroshi Mizoguchi , Ken-ichi Hidai
Hiroshi G. Okuno , Ken-ichi Hidai
Hiroaki Kitano , Ken-ichi Hidai
Hiroshi G. Okuno , Hiroshi Mizoguchi
Hiroaki Kitano , Hiroshi Mizoguchi
Hiroaki Kitano , Hiroshi G. Okuno
Carmel Domshlak , Ronen I. Brafman
Carmel Domshlak , Solomon Eyal Shimony
Ronen I. Brafman , Solomon Eyal Shimony
Satoshi Oyama , Takashi Kokubo
Satoshi Oyama , Toru Ishida
Satoshi Oyama , Teruhiro Yamada
Satoshi Oyama , Yasuhiko Kitamura
Takashi Kokubo , Toru Ishida
Takashi Kokubo , Teruhiro Yamada
Takashi Kokubo , Yasuhiko Kitamura
Teruhiro Yamada , Toru Ishida
Toru Ishida , Yasuhiko Kitamura
Teruhiro Yamada , Yasuhiko Kitamura
Daniel R. Dooly , Robert A. Amar
Robert A. Amar , Sally A. Goldman
Qi Zhang , Robert A. Amar
Daniel R. Dooly , Sally A. Goldman
Daniel R. Dooly , Qi Zhang
Qi Zhang , Sally A. Goldman
Hendrik Blockeel , Jan Struyf
Avrim Blum , Shuchi Chawla
Manuela M. Veloso , Michael H. Bowling
Daphne Koller , Urszula Chajewska
Dirk Ormoneit , Urszula Chajewska
Daphne Koller , Dirk Ormoneit
Benjamin Van Roy , David Choi
S. Sathiya Keerthi , Wei Chu
Chong Jin Ong , Wei Chu
Chong Jin Ong , S. Sathiya Keerthi
John Shawe-Taylor , Nello Cristianini
Huma Lodhi , Nello Cristianini
Huma Lodhi , John Shawe-Taylor
Alin Dobra , Johannes Gehrke
Carlotta Domeniconi , Dimitrios Gunopulos
Geoff Hulten , Pedro Domingos
Melissa Dominguez , Robert A. Jacobs
Behzad Shahraray , Harris Drucker
David C. Gibbon , Harris Drucker
Behzad Shahraray , David C. Gibbon
Jude W. Shavlik , Tina Eliassi-Rad
Shie Mannor , Yaakov Engel
Peter A. Flach , Thomas G&auml;rtner
Lise Getoor , Nir Friedman
Daphne Koller , Lise Getoor
Benjamin Taskar , Lise Getoor
Daphne Koller , Nir Friedman
Benjamin Taskar , Nir Friedman
Benjamin Taskar , Daphne Koller
Rayid Ghani , Se&aacute;n Slattery
Rayid Ghani , Yiming Yang
Se&aacute;n Slattery , Yiming Yang
Mohammad Ghavamzadeh , Sridhar Mahadevan
Katia P. Sycara , Matthew R. Glickman
Charles Elkan , Greg Hamerly
Bruce Blumberg , Yuri A. Ivanov
Alex Pentland , Yuri A. Ivanov
Alex Pentland , Bruce Blumberg
Amir Jafari , Amy Greenwald
Amir Jafari , David Gondek
Amir Jafari , Gunes Ercal
Amy Greenwald , David Gondek
Amy Greenwald , Gunes Ercal
David Gondek , Gunes Ercal
Alexander G. Hauptmann , Rong Jin
Nello Cristianini , Thorsten Joachims
John Shawe-Taylor , Thorsten Joachims
John Shawe-Taylor , Nello Cristianini
Luc De Raedt , Stefan Kramer
Abba Krieger , Chuan Long
Abba Krieger , Abraham Wyner
Abraham Wyner , Chuan Long
Andrew McCallum , John D. Lafferty
Fernando C. N. Pereira , John D. Lafferty
Andrew McCallum , Fernando C. N. Pereira
John Langford , Matthias Seeger
John Langford , Nimrod Megiddo
Matthias Seeger , Nimrod Megiddo
Marco Saerens , Patrice Latinne
Christine Decaestecker , Patrice Latinne
Christine Decaestecker , Marco Saerens
Bernhard Sch&ouml;lkopf , Neil D. Lawrence
Rosemary Emery , Yufeng Liu
Deepayan Chakrabarti , Yufeng Liu
Wolfram Burgard , Yufeng Liu
Sebastian Thrun , Yufeng Liu
Deepayan Chakrabarti , Rosemary Emery
Rosemary Emery , Wolfram Burgard
Rosemary Emery , Sebastian Thrun
Deepayan Chakrabarti , Wolfram Burgard
Deepayan Chakrabarti , Sebastian Thrun
Sebastian Thrun , Wolfram Burgard
Josep Maria Garrell i Guiu , Xavier Llor&agrave;
John Shawe-Taylor , Mario Marchand
Ido Dagan , Zvika Marx
Joachim M. Buhmann , Zvika Marx
Ido Dagan , Joachim M. Buhmann
Amy McGovern , Andrew G. Barto
Arindam Choudhury , Prasanth B. Nair
Andy J. Keane , Prasanth B. Nair
Andy J. Keane , Arindam Choudhury
Andrew Y. Ng , Michael I. Jordan
Ilia Nouretdinov , Thomas Melluish
Ilia Nouretdinov , Volodya Vovk
Thomas Melluish , Volodya Vovk
Athanassios Papagelis , Dimitrios Kalles
Andrew W. Moore , Dan Pelleg
Andrew G. Barto , Theodore J. Perkins
Doina Precup , Richard S. Sutton
Doina Precup , Sanjoy Dasgupta
Richard S. Sutton , Sanjoy Dasgupta
David Page , Soumya Ray
Igor Kononenko , Marko Robnik-Sikonja
Andrew McCallum , Nicholas Roy
Antonin Rozsypal , Miroslav Kubat
Andrew W. Moore , Peter Sand
Manish Sarkar , Tze-Yun Leong
Makoto Sato , Shigenobu Kobayashi
Stefan Wrobel , Tobias Scheffer
Mark Schwabacher , Pat Langley
Marco Ramoni , Paola Sebastiani
Marc Sebban , Richard Nock
Marc Sebban , St&eacute;phane Lallich
Richard Nock , St&eacute;phane Lallich
Gill Bejerano , Yevgeny Seldin
Naftali Tishby , Yevgeny Seldin
Gill Bejerano , Naftali Tishby
Gregory Shakhnarovich , Ran El-Yaniv
Gregory Shakhnarovich , Yoram Baram
Ran El-Yaniv , Yoram Baram
Bryan Singer , Manuela M. Veloso
Peter Stone , Richard S. Sutton
Andrew W. Moore , Malcolm J. A. Strens
Jonathan Baxter , Nigel Tao
Lex Weaver , Nigel Tao
Jonathan Baxter , Lex Weaver
Claire Cardie , Kiri Wagstaff
Kiri Wagstaff , Seth Rogers
Kiri Wagstaff , Stefan Schr&ouml;dl
Claire Cardie , Seth Rogers
Claire Cardie , Stefan Schr&ouml;dl
Seth Rogers , Stefan Schr&ouml;dl
Eric P. Xing , Michael I. Jordan
Eric P. Xing , Richard M. Karp
Michael I. Jordan , Richard M. Karp
Bianca Zadrozny , Charles Elkan
Charles X. Ling , Huajie Zhang
Martin Zinkevich , Tucker R. Balch
Aaron C. Courville , David S. Touretzky
Benjamin P. Hiles , Shimon Edelman
Hwajin Yang , Shimon Edelman
Nathan Intrator , Shimon Edelman
Benjamin P. Hiles , Hwajin Yang
Benjamin P. Hiles , Nathan Intrator
Hwajin Yang , Nathan Intrator
Bas Rokers , David Jacobs
Archisman Rudra , David Jacobs
David Jacobs , Zili Liu
Archisman Rudra , Bas Rokers
Bas Rokers , Zili Liu
Archisman Rudra , Zili Liu
Christopher D. Manning , Dan Klein
Andrew G. Barto , Michael Kositsky
Michael C. Mozer , Michael D. Colagrosso
David E. Huber , Michael C. Mozer
David E. Huber , Michael D. Colagrosso
Daniel Jurafsky , S. Narayanan
Michiro Negishi , Stephen Jose Hanson
R. S. Busby , Randall C. O'Reilly
R. Soto , Randall C. O'Reilly
J. Wearden , Jonathan L. Shapiro
Daniel Yarlett , Michael Ramscar
Alexei V. Samsonovich , Giorgio A. Ascoli
A. d'Avella , M. C. Tresch
A. V. van den Berg , J. A. Beintema
J. A. Beintema , M. Lappe
A. V. van den Berg , M. Lappe
Benjamin Blankertz , Gabriel Curio
Benjamin Blankertz , Klaus-Robert M&uuml;ller
Gabriel Curio , Klaus-Robert M&uuml;ller
Neil Burgess , Tom Hartley
Amir Globerson , Gal Chechik
Gal Chechik , M. J. Anderson
E. D. Young , Gal Chechik
Gal Chechik , Israel Nelken
Gal Chechik , Naftali Tishby
Amir Globerson , M. J. Anderson
Amir Globerson , E. D. Young
Amir Globerson , Israel Nelken
Amir Globerson , Naftali Tishby
E. D. Young , M. J. Anderson
Israel Nelken , M. J. Anderson
M. J. Anderson , Naftali Tishby
E. D. Young , Israel Nelken
E. D. Young , Naftali Tishby
Israel Nelken , Naftali Tishby
A. Diederich , H. Colonius
Angela J. Yu , Peter Dayan
O. Donchin , Reza Shadmehr
Berthold B&auml;uml , Julian Eggert
Michael J. Black , Yun Gao
Elie Bienenstock , Yun Gao
Shy Shoham , Yun Gao
John P. Donoghue , Yun Gao
Elie Bienenstock , Michael J. Black
Michael J. Black , Shy Shoham
John P. Donoghue , Michael J. Black
Elie Bienenstock , Shy Shoham
Elie Bienenstock , John P. Donoghue
John P. Donoghue , Shy Shoham
Richard H. R. Hahnloser , Xiaohui Xie
H. Sebastian Seung , Richard H. R. Hahnloser
H. Sebastian Seung , Xiaohui Xie
&Aacute;d&aacute;m Kepecs , S. Raghavachari
M. Okada , N. Matsumoto
Hiroyuki Nakahara , Shun-ichi Amari
Antonino Casile , Michele Rucci
E. J. Chichilnisky , Odelia Schwartz
Eero P. Simoncelli , Odelia Schwartz
E. J. Chichilnisky , Eero P. Simoncelli
Haim Sompolinsky , Maoz Shamir
&Aacute;d&aacute;m Kepecs , Jesper Tegn&eacute;r
Edmund T. Rolls , Thomas P. Trappenberg
Simon M. Stringer , Thomas P. Trappenberg
Edmund T. Rolls , Simon M. Stringer
Gregor Wenning , Klaus Obermayer
B. D. Wright , Kamal Sen
B. D. Wright , William Bialek
A. J. Doupe , B. D. Wright
Kamal Sen , William Bialek
A. J. Doupe , Kamal Sen
A. J. Doupe , William Bialek
Shun-ichi Amari , Si Wu
Martin A. Giese , Xiaohui Xie
Dimitris Achlioptas , Frank McSherry
Bernhard Sch&ouml;lkopf , Dimitris Achlioptas
Bernhard Sch&ouml;lkopf , Frank McSherry
Hyeyoung Park , Shun-ichi Amari
Shun-ichi Amari , Tomoko Ozeki
Hyeyoung Park , Tomoko Ozeki
Joachim M. Buhmann , Mikio L. Braun
Alex Conconi , Nicol&ograve; Cesa-Bianchi
Claudio Gentile , Nicol&ograve; Cesa-Bianchi
Alex Conconi , Claudio Gentile
John Shawe-Taylor , Nello Cristianini
Andr&eacute; Elisseeff , Nello Cristianini
Jaz S. Kandola , Nello Cristianini
Andr&eacute; Elisseeff , John Shawe-Taylor
Jaz S. Kandola , John Shawe-Taylor
Andr&eacute; Elisseeff , Jaz S. Kandola
Michael L. Littman , Sanjoy Dasgupta
David A. McAllester , Sanjoy Dasgupta
David A. McAllester , Michael L. Littman
Anita C. Faul , Michael E. Tipping
Ralf Herbrich , Robert C. Williamson
Shiro Ikeda , Toshiyuki Tanaka
Shiro Ikeda , Shun-ichi Amari
Shun-ichi Amari , Toshiyuki Tanaka
Hilbert J. Kappen , Wim Wiegerinck
Dan Roth , Roni Khardon
Rocco A. Servedio , Roni Khardon
Dan Roth , Rocco A. Servedio
Adam Kowalczyk , Alex J. Smola
Adam Kowalczyk , Robert C. Williamson
Alex J. Smola , Robert C. Williamson
Guy Lebanon , John D. Lafferty
Bert Kappen , Martijn A. R. Leisink
D&ouml;rthe Malzahn , Manfred Opper
F. Shafee , Ilya Nemenman
Ilya Nemenman , William Bialek
F. Shafee , William Bialek
Manfred Opper , Robert Urbanczik
Gunnar R&auml;tsch , Sebastian Mika
Gunnar R&auml;tsch , Manfred K. Warmuth
Manfred K. Warmuth , Sebastian Mika
Gleb Basalyga , Magnus Rattray
John Shawe-Taylor , Nello Cristianini
Jaz S. Kandola , John Shawe-Taylor
Jaz S. Kandola , Nello Cristianini
Shiro Ikeda , Toshiyuki Tanaka
Shun-ichi Amari , Toshiyuki Tanaka
Shiro Ikeda , Shun-ichi Amari
F. Li , K. Y. M. Wong
Florence d'Alch&eacute;-Buc , Yves Grandvalet
Christophe Ambroise , Florence d'Alch&eacute;-Buc
Christophe Ambroise , Yves Grandvalet
Christophe Andrieu , Nando de Freitas
Arnaud Doucet , Christophe Andrieu
Arnaud Doucet , Nando de Freitas
Francis R. Bach , Michael I. Jordan
Matthew J. Beal , Zoubin Ghahramani
Carl Edward Rasmussen , Matthew J. Beal
Carl Edward Rasmussen , Zoubin Ghahramani
Mikhail Belkin , Partha Niyogi
J. Bi , K. P. Bennett
Andrew Y. Ng , David M. Blei
David M. Blei , Michael I. Jordan
Andrew Y. Ng , Michael I. Jordan
Bernhard Sch&ouml;lkopf , Olivier Chapelle
Michael Collins , S. Dasgupta
Michael Collins , Robert E. Schapire
Robert E. Schapire , S. Dasgupta
Michael Collins , Nigel Duffy
Ronan Collobert , Samy Bengio
Ronan Collobert , Yoshua Bengio
Samy Bengio , Yoshua Bengio
Koby Crammer , Yoram Singer
John Shawe-Taylor , Nello Cristianini
Jaz S. Kandola , Nello Cristianini
Jaz S. Kandola , John Shawe-Taylor
Lehel Csat&oacute; , Manfred Opper
Lehel Csat&oacute; , Ole Winther
Manfred Opper , Ole Winther
Carlotta Domeniconi , Dimitrios Gunopulos
Geoff Hulten , Pedro Domingos
Andr&eacute; Elisseeff , Jason Weston
Benjamin Van Roy , Daniela Pucci de Farias
Katya Scheinberg , Shai Fine
Brendan J. Frey , Nebojsa Jojic
Anitha Kannan , Brendan J. Frey
Brendan J. Frey , Nebojsa Jojic
Anitha Kannan , Nebojsa Jojic
Brendan J. Frey , Ralf Koetter
Brendan J. Frey , Nemanja Petrovic
Nemanja Petrovic , Ralf Koetter
Alexander Ziehe , Stefan Harmeling
Motoaki Kawanabe , Stefan Harmeling
Klaus-Robert M&uuml;ller , Stefan Harmeling
Alexander Ziehe , Motoaki Kawanabe
Alexander Ziehe , Klaus-Robert M&uuml;ller
Klaus-Robert M&uuml;ller , Motoaki Kawanabe
Assaf Gottlieb , David Horn
Hava T. Siegelmann , Tommi Jaakkola
Alex J. Smola , Jyrki Kivinen
Jyrki Kivinen , Robert C. Williamson
Alex J. Smola , Robert C. Williamson
Jens Kohlmorgen , Steven Lemm
Gert R. G. Lanckriet , Laurent El Ghaoui
Chiranjib Bhattacharyya , Gert R. G. Lanckriet
Gert R. G. Lanckriet , Michael I. Jordan
Chiranjib Bhattacharyya , Laurent El Ghaoui
Laurent El Ghaoui , Michael I. Jordan
Chiranjib Bhattacharyya , Michael I. Jordan
John Langford , Rich Caruana
Michael J. Kearns , Michael L. Littman
Michael L. Littman , Satinder P. Singh
Michael J. Kearns , Satinder P. Singh
Helge Ritter , Peter Meinicke
Kevin P. Murphy , Mark A. Paskin
Andrew Y. Ng , Michael I. Jordan
Andrew Y. Ng , Michael I. Jordan
Andrew Y. Ng , Yair Weiss
Michael I. Jordan , Yair Weiss
Alberto Paccanaro , Geoffrey E. Hinton
Alan L. Yuille , Anand Rangarajan
Carl Edward Rasmussen , Zoubin Ghahramani
Lawrence K. Saul , Sam T. Roweis
Geoffrey E. Hinton , Sam T. Roweis
Geoffrey E. Hinton , Lawrence K. Saul
Daniel D. Lee , Lawrence K. Saul
Daphne Koller , Eran Segal
Dirk Ormoneit , Eran Segal
Daphne Koller , Dirk Ormoneit
Hiroshi Shimodaira , Ken-ichi Noma
Hiroshi Shimodaira , Mitsuru Nakai
Hiroshi Shimodaira , Shigeki Sagayama
Ken-ichi Noma , Mitsuru Nakai
Ken-ichi Noma , Shigeki Sagayama
Mitsuru Nakai , Shigeki Sagayama
Nir Friedman , Noam Slonim
Naftali Tishby , Noam Slonim
Naftali Tishby , Nir Friedman
Peter Sykacek , Stephen J. Roberts
Martin Szummer , Tommi Jaakkola
Max Welling , Yee Whye Teh
John Langford , Sebastian Thrun
Sebastian Thrun , Vandi Verma
John Langford , Vandi Verma
Koji Tsuda , Motoaki Kawanabe
Gunnar R&auml;tsch , Koji Tsuda
Koji Tsuda , S&ouml;ren Sonnenburg
Klaus-Robert M&uuml;ller , Koji Tsuda
Gunnar R&auml;tsch , Motoaki Kawanabe
Motoaki Kawanabe , S&ouml;ren Sonnenburg
Klaus-Robert M&uuml;ller , Motoaki Kawanabe
Gunnar R&auml;tsch , S&ouml;ren Sonnenburg
Gunnar R&auml;tsch , Klaus-Robert M&uuml;ller
Klaus-Robert M&uuml;ller , S&ouml;ren Sonnenburg
Pascal Vincent , Yoshua Bengio
Klaus Obermayer , Roland Vollgraf
Martin J. Wainwright , Tommi Jaakkola
Alan S. Willsky , Martin J. Wainwright
Alan S. Willsky , Tommi Jaakkola
Christopher K. I. Williams , Felix V. Agakov
Christopher K. I. Williams , Stephen N. Felderhof
Felix V. Agakov , Stephen N. Felderhof
Oren Souroujon , Ran El-Yaniv
Alan L. Yuille , Anand Rangarajan
Michael Zibulevsky , Pavel Kisilev
Michael Zibulevsky , Yehoshua Y. Zeevi
Barak A. Pearlmutter , Michael Zibulevsky
Pavel Kisilev , Yehoshua Y. Zeevi
Barak A. Pearlmutter , Pavel Kisilev
Barak A. Pearlmutter , Yehoshua Y. Zeevi
Hongyuan Zha , Xiaofeng He
Chris H. Q. Ding , Hongyuan Zha
Hongyuan Zha , Ming Gu
Hongyuan Zha , Horst D. Simon
Chris H. Q. Ding , Xiaofeng He
Ming Gu , Xiaofeng He
Horst D. Simon , Xiaofeng He
Chris H. Q. Ding , Ming Gu
Chris H. Q. Ding , Horst D. Simon
Horst D. Simon , Ming Gu
Qi Zhang , Sally A. Goldman
Ji Zhu , Trevor Hastie
A. Bofill , A. F. Murray
A. Bofill , D. P. Thompson
A. F. Murray , D. P. Thompson
Gert Cauwenberghs , Roman Genov
J&ouml;rg Kramer , Shih-Chii Liu
Giacomo Indiveri , Shih-Chii Liu
Shih-Chii Liu , Tobi Delbr&uuml;ck
Rodney J. Douglas , Shih-Chii Liu
Giacomo Indiveri , J&ouml;rg Kramer
J&ouml;rg Kramer , Tobi Delbr&uuml;ck
J&ouml;rg Kramer , Rodney J. Douglas
Giacomo Indiveri , Tobi Delbr&uuml;ck
Giacomo Indiveri , Rodney J. Douglas
Rodney J. Douglas , Tobi Delbr&uuml;ck
Takashi Morie , Tomohiro Matsuura
Makoto Nagata , Takashi Morie
Atsushi Iwata , Takashi Morie
Makoto Nagata , Tomohiro Matsuura
Atsushi Iwata , Tomohiro Matsuura
Atsushi Iwata , Makoto Nagata
Aaron P. Shon , David Hsu
Aaron P. Shon , Chris Diorio
Chris Diorio , David Hsu
Tadashi Shibata , Toshihiko Yamasaki
Gang Ji , Jeff Bilmes
Jeff Bilmes , Marina Meila
Gang Ji , Marina Meila
Andrew D. Brown , Geoffrey E. Hinton
