Anthony D. Worrall , Arthur E. C. Pece
Cristina Boicu , Marcel Barbulescu
Cristina Boicu , Xianjun Hao
Catalin Balan , Marcel Barbulescu
Catalin Balan , Xianjun Hao
Marcel Barbulescu , Xianjun Hao
Songsak Channarukul , Susan Weber McRoy
Songsak Channarukul , Syed S. Ali
Susan Weber McRoy , Syed S. Ali
John Collins , Maria L. Gini
Penina Hoz-Weiss , Sarit Kraus
Jonathan Wilkenfeld , Penina Hoz-Weiss
Penina Hoz-Weiss , Tara E. Santmire
Jonathan Wilkenfeld , Sarit Kraus
Sarit Kraus , Tara E. Santmire
Jonathan Wilkenfeld , Tara E. Santmire
Aaron Khoo , Robin Hunicke
Aaron Khoo , Greg Dunham
Aaron Khoo , Nick Trienens
Aaron Khoo , Muon Van
Greg Dunham , Robin Hunicke
Nick Trienens , Robin Hunicke
Muon Van , Robin Hunicke
Greg Dunham , Nick Trienens
Greg Dunham , Muon Van
Muon Van , Nick Trienens
Andrew Lim , Juay Chin Ang
Andrew Lim , Wee-Kit Ho
Andrew Lim , Wee-Chong Oon
Juay Chin Ang , Wee-Kit Ho
Juay Chin Ang , Wee-Chong Oon
Wee-Chong Oon , Wee-Kit Ho
Dmitri Bobrovnikoff , Mala Mehrotra
Michael J. Watts , Samuel Moyle
Masayuki Numao , Shoichi Takagi
Keisuke Nakamura , Masayuki Numao
Keisuke Nakamura , Shoichi Takagi
Amir Globerson , Naftali Tishby
Douglas Aberdeen , Jonathan Baxter
&Eacute;rick Alphonse , Stan Matwin
Thomas G. Dietterich , Valentina Bayer Zubek
Arindam Banerjee , Sugato Basu
Raymond J. Mooney , Sugato Basu
Arindam Banerjee , Raymond J. Mooney
C&eacute;line Rouveirol , Jacques Ales Bianchetti
Jacques Ales Bianchetti , Mich&egrave;le Sebag
C&eacute;line Rouveirol , Mich&egrave;le Sebag
Joseph Bockhorst , Mark Craven
Bj&ouml;rn Bringmann , Stefan Kramer
Bj&ouml;rn Bringmann , Friedrich Neubarth
Bj&ouml;rn Bringmann , Hannes Pirker
Bj&ouml;rn Bringmann , Gerhard Widmer
Friedrich Neubarth , Stefan Kramer
Hannes Pirker , Stefan Kramer
Gerhard Widmer , Stefan Kramer
Friedrich Neubarth , Hannes Pirker
Friedrich Neubarth , Gerhard Widmer
Gerhard Widmer , Hannes Pirker
Liu Wenyin , Zheng Chen
Feng Zhang , Zheng Chen
Feng Zhang , Liu Wenyin
Michael Chisholm , Prasad Tadepalli
Elisabeth Crawford , Judy Kay
Elisabeth Crawford , Eric McCreath
Eric McCreath , Judy Kay
Denver Dash , Gregory F. Cooper
D&iacute;dac Busquets , Thomas G. Dietterich
Ramon L&oacute;pez de M&aacute;ntaras , Thomas G. Dietterich
Carles Sierra , Thomas G. Dietterich
D&iacute;dac Busquets , Ramon L&oacute;pez de M&aacute;ntaras
Carles Sierra , D&iacute;dac Busquets
Carles Sierra , Ramon L&oacute;pez de M&aacute;ntaras
Kurt Driessens , Saso Dzeroski
Bernard Zenko , Saso Dzeroski
Juho Rousu , Tapio Elomaa
C&eacute;sar Ferri , Peter A. Flach
C&eacute;sar Ferri , Jos&eacute; Hern&aacute;ndez-Orallo
Jos&eacute; Hern&aacute;ndez-Orallo , Peter A. Flach
David L. Dowe , Leigh J. Fitzgibbon
Leigh J. Fitzgibbon , Lloyd Allison
David L. Dowe , Lloyd Allison
Dragan Gamberger , Nada Lavrac
Ashutosh Garg , Sariel Har-Peled
Ashutosh Garg , Dan Roth
Dan Roth , Sariel Har-Peled
Peter A. Flach , Thomas G&auml;rtner
Adam Kowalczyk , Thomas G&auml;rtner
Alex J. Smola , Thomas G&auml;rtner
Adam Kowalczyk , Peter A. Flach
Alex J. Smola , Peter A. Flach
Adam Kowalczyk , Alex J. Smola
Mohammad Ghavamzadeh , Sridhar Mahadevan
Amir Globerson , Naftali Tishby
Michael Goebel , Patricia J. Riddle
Michael Goebel , Mike Barley
Mike Barley , Patricia J. Riddle
Jesus A. Gonzalez , Lawrence B. Holder
Diane J. Cook , Jesus A. Gonzalez
Diane J. Cook , Lawrence B. Holder
Carlos Guestrin , Michail G. Lagoudakis
Carlos Guestrin , Ronald Parr
Michail G. Lagoudakis , Ronald Parr
Carlos Guestrin , Relu Patrascu
Carlos Guestrin , Dale Schuurmans
Dale Schuurmans , Relu Patrascu
David Jensen , Jennifer Neville
John Langford , Sham Kakade
Sham Kakade , Yee Whye Teh
Sam T. Roweis , Sham Kakade
Sam T. Roweis , Yee Whye Teh
Dan Klein , Sepandar D. Kamvar
Christopher D. Manning , Sepandar D. Kamvar
Christopher D. Manning , Dan Klein
Hisashi Kashima , Teruo Koyanagi
Kaibo Duan , S. Sathiya Keerthi
S. Sathiya Keerthi , Shirish Krishnaj Shevade
Aun Neow Poo , S. Sathiya Keerthi
Kaibo Duan , Shirish Krishnaj Shevade
Aun Neow Poo , Kaibo Duan
Aun Neow Poo , Shirish Krishnaj Shevade
Dan Klein , Sepandar D. Kamvar
Christopher D. Manning , Dan Klein
Christopher D. Manning , Sepandar D. Kamvar
John D. Lafferty , Risi Imre Kondor
Gert R. G. Lanckriet , Nello Cristianini
Gert R. G. Lanckriet , Peter L. Bartlett
Gert R. G. Lanckriet , Laurent El Ghaoui
Gert R. G. Lanckriet , Michael I. Jordan
Nello Cristianini , Peter L. Bartlett
Laurent El Ghaoui , Nello Cristianini
Michael I. Jordan , Nello Cristianini
Laurent El Ghaoui , Peter L. Bartlett
Michael I. Jordan , Peter L. Bartlett
Laurent El Ghaoui , Michael I. Jordan
John Langford , Martin Zinkevich
John Langford , Sham Kakade
Martin Zinkevich , Sham Kakade
Javier Nicol&aacute;s S&aacute;nchez , Pat Langley
Ljupco Todorovski , Pat Langley
Pat Langley , Saso Dzeroski
Javier Nicol&aacute;s S&aacute;nchez , Ljupco Todorovski
Javier Nicol&aacute;s S&aacute;nchez , Saso Dzeroski
Ljupco Todorovski , Saso Dzeroski
Adam Laud , Gerald DeJong
Guy Lebanon , John D. Lafferty
Christopher Leckie , Kotagiri Ramamohanarao
Hugo Zaragoza , Yaoyong Li
Ralf Herbrich , Yaoyong Li
John Shawe-Taylor , Yaoyong Li
Jaz S. Kandola , Yaoyong Li
Hugo Zaragoza , Ralf Herbrich
Hugo Zaragoza , John Shawe-Taylor
Hugo Zaragoza , Jaz S. Kandola
John Shawe-Taylor , Ralf Herbrich
Jaz S. Kandola , Ralf Herbrich
Jaz S. Kandola , John Shawe-Taylor
Bing Liu , Wee Sun Lee
Bing Liu , Philip S. Yu
Bing Liu , Xiaoli Li
Philip S. Yu , Wee Sun Lee
Wee Sun Lee , Xiaoli Li
Philip S. Yu , Xiaoli Li
Hiroshi Motoda , Huan Liu
Huan Liu , Lei Yu
Hiroshi Motoda , Lei Yu
Fletcher Lu , Relu Patrascu
Dale Schuurmans , Fletcher Lu
Dale Schuurmans , Relu Patrascu
Artur Merke , Ralf Schoknecht
Carsten Meyer , Peter Beyerlein
Ion Muslea , Steven Minton
Craig A. Knoblock , Ion Muslea
Craig A. Knoblock , Steven Minton
Ion Muslea , Steven Minton
Craig A. Knoblock , Ion Muslea
Craig A. Knoblock , Steven Minton
Jae Won Lee , Jangmin O
Byoung-Tak Zhang , Jangmin O
Byoung-Tak Zhang , Jae Won Lee
Devina Desai , Tim Oates
Tim Oates , Vinay Bhat
Devina Desai , Vinay Bhat
Ashutosh Garg , Nuria Oliver
Anand Panangadan , Michael G. Dyer
Byoung-Tak Zhang , Seong-Bae Park
Mark D. Pendrith , Theodore J. Perkins
Christian R. Shelton , Leonid Peshkin
Andrew G. Barto , Marc Pickett
Bhavani Raskutti , Herman L. Ferr&aacute;
Adam Kowalczyk , Bhavani Raskutti
Adam Kowalczyk , Herman L. Ferr&aacute;
Craig Saunders , Hauke Tschach
Craig Saunders , John Shawe-Taylor
Hauke Tschach , John Shawe-Taylor
Marie Rochery , Robert E. Schapire
Mazin G. Rahim , Robert E. Schapire
Narendra K. Gupta , Robert E. Schapire
Marie Rochery , Mazin G. Rahim
Marie Rochery , Narendra K. Gupta
Mazin G. Rahim , Narendra K. Gupta
Peter Stone , Robert E. Schapire
David A. McAllester , Robert E. Schapire
Michael L. Littman , Robert E. Schapire
J&aacute;nos A. Csirik , Robert E. Schapire
David A. McAllester , Peter Stone
Michael L. Littman , Peter Stone
J&aacute;nos A. Csirik , Peter Stone
David A. McAllester , Michael L. Littman
David A. McAllester , J&aacute;nos A. Csirik
J&aacute;nos A. Csirik , Michael L. Littman
Prasad Tadepalli , Sandeep Seri
Daniel G. Shapiro , Pat Langley
Gill Bejerano , Noam Slonim
Noam Slonim , Shai Fine
Naftali Tishby , Noam Slonim
Gill Bejerano , Shai Fine
Gill Bejerano , Naftali Tishby
Naftali Tishby , Shai Fine
David J. Stracuzzi , Paul E. Utgoff
Malcolm J. A. Strens , Mark Bernhardt
Malcolm J. A. Strens , Nicholas Everett
Mark Bernhardt , Nicholas Everett
Dorian Suc , Ivan Bratko
Einoshin Suzuki , Fumio Takechi
Haifeng Liu , Loo-Nin Teow
Hwee Tou Ng , Loo-Nin Teow
Eric Yap , Loo-Nin Teow
Haifeng Liu , Hwee Tou Ng
Eric Yap , Haifeng Liu
Eric Yap , Hwee Tou Ng
Arnaud Doucet , Shien-Shin Tham
Kotagiri Ramamohanarao , Shien-Shin Tham
Arnaud Doucet , Kotagiri Ramamohanarao
Ian H. Witten , Yong Wang
Chengqi Zhang , Xindong Wu
Shichao Zhang , Xindong Wu
Chengqi Zhang , Shichao Zhang
Geoffrey I. Webb , Ying Yang
Charles X. Ling , Huajie Zhang
Qi Zhang , Sally A. Goldman
Qi Zhang , Wei Yu
Jason E. Fritts , Qi Zhang
Sally A. Goldman , Wei Yu
Jason E. Fritts , Sally A. Goldman
Jason E. Fritts , Wei Yu
Christopher D. Manning , Dan Klein
Mark Steyvers , Thomas L. Griffiths
Peter Dayan , Szabolcs K&aacute;li
Emanuel Todorov , Michael I. Jordan
David Fass , Jacob Feldman
Joshua B. Tenenbaum , Thomas L. Griffiths
Joshua B. Tenenbaum , Neville E. Sanjana
Daniel J. Navarro , Michael D. Lee
Kenneth J. Malmberg , Ren&eacute; Zeelenberg
Kenneth J. Malmberg , Richard M. Shiffrin
Ren&eacute; Zeelenberg , Richard M. Shiffrin
David Danks , Thomas L. Griffiths
David Danks , Joshua B. Tenenbaum
Joshua B. Tenenbaum , Thomas L. Griffiths
Melissa Dominguez , Robert A. Jacobs
Aaron C. Courville , Nathaniel D. Daw
David S. Touretzky , Nathaniel D. Daw
Aaron C. Courville , David S. Touretzky
Eytan Ruppin , Zach Solan
David Horn , Zach Solan
Shimon Edelman , Zach Solan
David Horn , Eytan Ruppin
Eytan Ruppin , Shimon Edelman
David Horn , Shimon Edelman
Anthony M. Zador , Michael DeWeese
Jennifer F. Linden , Maneesh Sahani
Michael J. Black , Wei Wu
Wei Wu , Yun Gao
Elie Bienenstock , Wei Wu
M. Serruya , Wei Wu
A. Shaikhouni , Wei Wu
John P. Donoghue , Wei Wu
Michael J. Black , Yun Gao
Elie Bienenstock , Michael J. Black
M. Serruya , Michael J. Black
A. Shaikhouni , Michael J. Black
John P. Donoghue , Michael J. Black
Elie Bienenstock , Yun Gao
M. Serruya , Yun Gao
A. Shaikhouni , Yun Gao
John P. Donoghue , Yun Gao
Elie Bienenstock , M. Serruya
A. Shaikhouni , Elie Bienenstock
Elie Bienenstock , John P. Donoghue
A. Shaikhouni , M. Serruya
John P. Donoghue , M. Serruya
A. Shaikhouni , John P. Donoghue
Lavi Shpigelman , Yoram Singer
Lavi Shpigelman , Rony Paz
Eilon Vaadia , Lavi Shpigelman
Rony Paz , Yoram Singer
Eilon Vaadia , Yoram Singer
Eilon Vaadia , Rony Paz
Christian K. Machens , Michael Wehr
Anthony M. Zador , Christian K. Machens
Anthony M. Zador , Michael Wehr
Aapo Hyv&auml;rinen , Jarmo Hurri
Angela J. Yu , Peter Dayan
Aaron J. Gruber , Sara A. Solla
Aaron J. Gruber , James C. Houk
James C. Houk , Sara A. Solla
Armen Stepanyants , Dmitri B. Chklovskii
David Rotermund , Matthias Bethge
Klaus Pawelzik , Matthias Bethge
David Rotermund , Klaus Pawelzik
Elad Schneidman , William Bialek
Elad Schneidman , Michael J. Berry II
Michael J. Berry II , William Bialek
Javier R. Movellan , Thomas Wachtler
Javier R. Movellan , Thomas D. Albright
Javier R. Movellan , Terrence J. Sejnowski
Thomas D. Albright , Thomas Wachtler
Terrence J. Sejnowski , Thomas Wachtler
Terrence J. Sejnowski , Thomas D. Albright
Thomas Natschl&auml;ger , Wolfgang Maass
Henry Markram , Wolfgang Maass
Henry Markram , Thomas Natschl&auml;ger
Maneesh Sahani , Peter Dayan
Gregoire Deback , Peter Dayan
Gregoire Deback , Maneesh Sahani
Alex Holub , Gilles Laurent
Alex Holub , Pietro Perona
Gilles Laurent , Pietro Perona
Kenneth D. Miller , Michael Eisele
Brian S. Blais , Luk-Chong Yeung
Leon N. Cooper , Luk-Chong Yeung
Harel Z. Shouval , Luk-Chong Yeung
Brian S. Blais , Leon N. Cooper
Brian S. Blais , Harel Z. Shouval
Harel Z. Shouval , Leon N. Cooper
Alistair Bray , Dominique Martinez
Nicole C. Rust , Tatyana Sharpee
Tatyana Sharpee , William Bialek
Nicole C. Rust , William Bialek
Alexandre Pouget , Arunava Banerjee
Aapo Hyv&auml;rinen , Patrik O. Hoyer
Alon Fishbach , Bradford J. May
Jennifer F. Linden , Maneesh Sahani
Ron Meir , Tong Zhang
D&ouml;rthe Malzahn , Manfred Opper
Noam Slonim , Yair Weiss
David A. McAllester , Luis E. Ortiz
Clayton Scott , Robert Nowak
Christopher K. I. Williams , John Shawe-Taylor
Guy Lebanon , John D. Lafferty
Shun-ichi Amari , Sumio Watanabe
Daniel J. L. Herrmann , Olivier Bousquet
Masato Okada , Tatsuto Murayama
Guy Lebanon , John D. Lafferty
John Langford , John Shawe-Taylor
Eric Allender , Sanjeev Arora
Eric Allender , Michael Kearns
Cristopher Moore , Eric Allender
Alexander Russell , Eric Allender
Michael Kearns , Sanjeev Arora
Cristopher Moore , Sanjeev Arora
Alexander Russell , Sanjeev Arora
Cristopher Moore , Michael Kearns
Alexander Russell , Michael Kearns
Alexander Russell , Cristopher Moore
Tom Heskes , Wim Wiegerinck
Koby Crammer , Ran Gilad-Bachrach
Amir Navot , Koby Crammer
Koby Crammer , Naftali Tishby
Amir Navot , Ran Gilad-Bachrach
Naftali Tishby , Ran Gilad-Bachrach
Amir Navot , Naftali Tishby
Alex Conconi , Nicol&ograve; Cesa-Bianchi
Claudio Gentile , Nicol&ograve; Cesa-Bianchi
Alex Conconi , Claudio Gentile
Alexander J. Smola , Cheng Soon Ong
Cheng Soon Ong , Robert C. Williamson
Alexander J. Smola , Robert C. Williamson
Carl Edward Rasmussen , Zoubin Ghahramani
Bin Wu , K. Y. Michael Wong
Bin Wu , David Bodoff
David Bodoff , K. Y. Michael Wong
Andrew Y. Ng , Eric P. Xing
Eric P. Xing , Michael I. Jordan
Eric P. Xing , Stuart J. Russell
Andrew Y. Ng , Michael I. Jordan
Andrew Y. Ng , Stuart J. Russell
Michael I. Jordan , Stuart J. Russell
Alexander J. Smola , Gunnar R&auml;tsch
Gunnar R&auml;tsch , Sebastian Mika
Alexander J. Smola , Sebastian Mika
Glenn Fung , Olvi L. Mangasarian
Glenn Fung , Jude W. Shavlik
Jude W. Shavlik , Olvi L. Mangasarian
Agathe Girard , Carl Edward Rasmussen
Agathe Girard , Joaquin Qui&ntilde;onero Candela
Agathe Girard , Roderick Murray-Smith
Carl Edward Rasmussen , Joaquin Qui&ntilde;onero Candela
Carl Edward Rasmussen , Roderick Murray-Smith
Joaquin Qui&ntilde;onero Candela , Roderick Murray-Smith
Joseph Keshet , Koby Crammer
Koby Crammer , Yoram Singer
Joseph Keshet , Yoram Singer
Michael Mozer , Sepp Hochreiter
Klaus Obermayer , Sepp Hochreiter
Klaus Obermayer , Michael Mozer
St&eacute;phane Canu , Yves Grandvalet
Ioannis Tsochantaridis , Stuart Andrews
Stuart Andrews , Thomas Hofmann
Ioannis Tsochantaridis , Thomas Hofmann
Alexander J. Smola , S. V. N. Vishwanathan
Jason Weston , Olivier Chapelle
Bernhard Sch&ouml;lkopf , Olivier Chapelle
Bernhard Sch&ouml;lkopf , Jason Weston
Corinna Cortes , Patrick Haffner
Corinna Cortes , Mehryar Mohri
Mehryar Mohri , Patrick Haffner
Matthias Seeger , Neil D. Lawrence
Neil D. Lawrence , Ralf Herbrich
Matthias Seeger , Ralf Herbrich
Mikio L. Braun , Tilman Lange
Tilman Lange , Volker Roth
Joachim M. Buhmann , Tilman Lange
Mikio L. Braun , Volker Roth
Joachim M. Buhmann , Mikio L. Braun
Joachim M. Buhmann , Volker Roth
Anil K. Jain , Martin H. C. Law
M&aacute;rio A. T. Figueiredo , Martin H. C. Law
Anil K. Jain , M&aacute;rio A. T. Figueiredo
Craig Saunders , John Shawe-Taylor
Alexei Vinokourov , Craig Saunders
Alexei Vinokourov , John Shawe-Taylor
Eran Segal , Saharon Rosset
Robert Tibshirani , Trevor Hastie
Jaz S. Kandola , John Shawe-Taylor
Jaz S. Kandola , Nello Cristianini
John Shawe-Taylor , Nello Cristianini
Max Welling , Richard S. Zemel
Geoffrey E. Hinton , Max Welling
Geoffrey E. Hinton , Richard S. Zemel
Alexander G. Gray , Bernd Fischer
Alexander G. Gray , Johann Schumann
Alexander G. Gray , Wray L. Buntine
Bernd Fischer , Johann Schumann
Bernd Fischer , Wray L. Buntine
Johann Schumann , Wray L. Buntine
Allan D. Jepson , Chakra Chennubhotla
Harald Steck , Tommi Jaakkola
Joshua B. Tenenbaum , Vin de Silva
Kazumi Saito , Naonori Ueda
Koji Tsuda , Motoaki Kawanabe
Klaus-Robert M&uuml;ller , Koji Tsuda
Klaus-Robert M&uuml;ller , Motoaki Kawanabe
Peter Sykacek , Stephen J. Roberts
Baback Moghaddam , Gregory Shakhnarovich
Dale Schuurmans , Finnegan Southey
Ali Ghodsi , Finnegan Southey
Ali Ghodsi , Dale Schuurmans
David M. J. Tax , Elzbieta Pekalska
Elzbieta Pekalska , Robert P. W. Duin
David M. J. Tax , Robert P. W. Duin
Gregory Z. Grudic , Thomas Strohmann
Christopher M. Bishop , David J. Spiegelhalter
Christopher M. Bishop , John M. Winn
David J. Spiegelhalter , John M. Winn
Adnan Darwiche , James D. Park
Dan Roth , Sariel Har-Peled
Dav Zimak , Sariel Har-Peled
Dan Roth , Dav Zimak
Luis E. Ortiz , Michael J. Kearns
Andrew W. Moore , Dan Pelleg
Martin J. Wainwright , Tommi Jaakkola
Alan S. Willsky , Martin J. Wainwright
Alan S. Willsky , Tommi Jaakkola
Julian Laub , Volker Roth
Joachim M. Buhmann , Volker Roth
Klaus-Robert M&uuml;ller , Volker Roth
Joachim M. Buhmann , Julian Laub
Julian Laub , Klaus-Robert M&uuml;ller
Joachim M. Buhmann , Klaus-Robert M&uuml;ller
Pascal Vincent , Yoshua Bengio
Geoffrey E. Hinton , Sam T. Roweis
Sam T. Roweis , Yee Whye Teh
Gal Chechik , Naftali Tishby
Kenji Fukumizu , Shotaro Akaho
Kenji Fukumizu , Shun-ichi Amari
Shotaro Akaho , Shun-ichi Amari
Jason Weston , Olivier Chapelle
Andr&eacute; Elisseeff , Jason Weston
Bernhard Sch&ouml;lkopf , Jason Weston
Jason Weston , Vladimir Vapnik
Andr&eacute; Elisseeff , Olivier Chapelle
Bernhard Sch&ouml;lkopf , Olivier Chapelle
Olivier Chapelle , Vladimir Vapnik
Andr&eacute; Elisseeff , Bernhard Sch&ouml;lkopf
Andr&eacute; Elisseeff , Vladimir Vapnik
Bernhard Sch&ouml;lkopf , Vladimir Vapnik
Kwokleung Chan , Te-Won Lee
Kwokleung Chan , Terrence J. Sejnowski
Te-Won Lee , Terrence J. Sejnowski
Klaus Obermayer , Sepp Hochreiter
Rong Jin , Zoubin Ghahramani
Gert R. G. Lanckriet , Laurent El Ghaoui
Gert R. G. Lanckriet , Michael I. Jordan
Laurent El Ghaoui , Michael I. Jordan
David Lowe , Nicholas P. Hughes
Marina Sokolova , Mario Marchand
Marina Sokolova , Nathalie Japkowicz
John Shawe-Taylor , Marina Sokolova
Mario Marchand , Nathalie Japkowicz
John Shawe-Taylor , Mario Marchand
John Shawe-Taylor , Nathalie Japkowicz
Mikhail Belkin , Partha Niyogi
Amnon Shashua , Anat Levin
Ofer Dekel , Yoram Singer
Anton Schwaighofer , Volker Tresp
Albert E. Parker , Tom&aacute;s Gedeon
Albert E. Parker , Alexander Dimitrov
Alexander Dimitrov , Tom&aacute;s Gedeon
Thomas Hofmann , Yasemin Altun
Mark Johnson , Yasemin Altun
Mark Johnson , Thomas Hofmann
Peter Meinicke , Thorsten Twellmann
Helge Ritter , Peter Meinicke
Helge Ritter , Thorsten Twellmann
Stan Z. Li , ZhenQiu Zhang
Heung-Yeung Shum , Stan Z. Li
HongJiang Zhang , Stan Z. Li
Heung-Yeung Shum , ZhenQiu Zhang
HongJiang Zhang , ZhenQiu Zhang
Heung-Yeung Shum , HongJiang Zhang
Joaquin Qui&ntilde;onero Candela , Ole Winther
Francis R. Bach , Michael I. Jordan
David A. Ross , Richard S. Zemel
Martin Szummer , Tommi Jaakkola
E. Solak , Roderick Murray-Smith
E. Solak , William E. Leithead
Douglas J. Leith , E. Solak
Carl Edward Rasmussen , E. Solak
Roderick Murray-Smith , William E. Leithead
Douglas J. Leith , Roderick Murray-Smith
Carl Edward Rasmussen , Roderick Murray-Smith
Douglas J. Leith , William E. Leithead
Carl Edward Rasmussen , William E. Leithead
Carl Edward Rasmussen , Douglas J. Leith
Fei Sha , Lawrence K. Saul
Daniel D. Lee , Fei Sha
Daniel D. Lee , Lawrence K. Saul
Ali Rahimi , Trevor Darrell
Cody C. T. Kwok , Dieter Fox
Cody C. T. Kwok , Marina Meila
Dieter Fox , Marina Meila
Alexandre R. S. Romariz , Kelvin Wagner
Malte Boegershausen , Shih-Chii Liu
Pascal Suter , Shih-Chii Liu
Malte Boegershausen , Pascal Suter
David Hsu , Seth Bridges
David Hsu , Miguel Figueroa
Chris Diorio , David Hsu
Miguel Figueroa , Seth Bridges
Chris Diorio , Seth Bridges
Chris Diorio , Miguel Figueroa
Francisco Jim&eacute;nez-Garrido , Ricardo Carmona-Gal&aacute;n
Rafael Dom&iacute;nguez-Castro , Ricardo Carmona-Gal&aacute;n
Ricardo Carmona-Gal&aacute;n , Servando Espejo-Meana
&Aacute;ngel Rodr&iacute;guez-V&aacute;zquez , Ricardo Carmona-Gal&aacute;n
Francisco Jim&eacute;nez-Garrido , Rafael Dom&iacute;nguez-Castro
Francisco Jim&eacute;nez-Garrido , Servando Espejo-Meana
&Aacute;ngel Rodr&iacute;guez-V&aacute;zquez , Francisco Jim&eacute;nez-Garrido
Rafael Dom&iacute;nguez-Castro , Servando Espejo-Meana
&Aacute;ngel Rodr&iacute;guez-V&aacute;zquez , Rafael Dom&iacute;nguez-Castro
&Aacute;ngel Rodr&iacute;guez-V&aacute;zquez , Servando Espejo-Meana
Matthias Kaper , Peter Meinicke
Florian Hoppe , Peter Meinicke
Manfred Heumann , Peter Meinicke
Helge Ritter , Peter Meinicke
Florian Hoppe , Matthias Kaper
Manfred Heumann , Matthias Kaper
Helge Ritter , Matthias Kaper
Florian Hoppe , Manfred Heumann
Florian Hoppe , Helge Ritter
Helge Ritter , Manfred Heumann
Benjamin Blankertz , Guido Dornhege
Gabriel Curio , Guido Dornhege
Guido Dornhege , Klaus-Robert M&uuml;ller
Benjamin Blankertz , Gabriel Curio
Benjamin Blankertz , Klaus-Robert M&uuml;ller
Gabriel Curio , Klaus-Robert M&uuml;ller
Alan Stocker , Jakob Heinzle
J&ouml;rg Kramer , Terry Elliott
Brian Taba , Kwabena Boahen
Francesco Tenore , R. Jacob Vogelstein
R. Jacob Vogelstein , Ralf Philipp
Miriam S. Adlerstein , R. Jacob Vogelstein
David H. Goldberg , R. Jacob Vogelstein
Gert Cauwenberghs , R. Jacob Vogelstein
Francesco Tenore , Ralf Philipp
Francesco Tenore , Miriam S. Adlerstein
David H. Goldberg , Francesco Tenore
Francesco Tenore , Gert Cauwenberghs
Miriam S. Adlerstein , Ralf Philipp
David H. Goldberg , Ralf Philipp
Gert Cauwenberghs , Ralf Philipp
David H. Goldberg , Miriam S. Adlerstein
Gert Cauwenberghs , Miriam S. Adlerstein
David H. Goldberg , Gert Cauwenberghs
Miguel Figueroa , Seth Bridges
David Hsu , Seth Bridges
Chris Diorio , Seth Bridges
David Hsu , Miguel Figueroa
Chris Diorio , Miguel Figueroa
Chris Diorio , David Hsu
Gert Cauwenberghs , Shantanu Chakrabartty
Gil-Jin Jang , Te-Won Lee
Daniel D. Lee , Lawrence K. Saul
Charles L. Isbell , Lawrence K. Saul
Lawrence K. Saul , Yann LeCun
Charles L. Isbell , Daniel D. Lee
Daniel D. Lee , Yann LeCun
Charles L. Isbell , Yann LeCun
Hynek Hermansky , Sachin S. Kajarekar
Patrick J. Wolfe , Simon J. Godsill
DeLiang L. Wang , Guoning Hu
Ehud Ben-Reuven , Yoram Singer
Shinji Watanabe , Yasuhiro Minami
Atsushi Nakamura , Shinji Watanabe
Naonori Ueda , Shinji Watanabe
Atsushi Nakamura , Yasuhiro Minami
Naonori Ueda , Yasuhiro Minami
Atsushi Nakamura , Naonori Ueda
Anat Levin , Assaf Zomet
Anat Levin , Yair Weiss
Assaf Zomet , Yair Weiss
Charless Fowlkes , David R. Martin
David R. Martin , Jitendra Malik
Charless Fowlkes , Jitendra Malik
Anitha Kannan , Nebojsa Jojic
Anitha Kannan , Brendan J. Frey
Brendan J. Frey , Nebojsa Jojic
Gwen Littlewort , Marian Stewart Bartlett
Bjorn Braathen , Marian Stewart Bartlett
Marian Stewart Bartlett , Terrence J. Sejnowski
Javier R. Movellan , Marian Stewart Bartlett
Bjorn Braathen , Gwen Littlewort
Gwen Littlewort , Terrence J. Sejnowski
Gwen Littlewort , Javier R. Movellan
Bjorn Braathen , Terrence J. Sejnowski
Bjorn Braathen , Javier R. Movellan
Javier R. Movellan , Terrence J. Sejnowski
Christopher M. Bishop , Michael E. Tipping
David B. Grimes , Rajesh P. N. Rao
Erik G. Miller , Kinh Tieu
John W. Fisher III , Leonid Taycher
Leonid Taycher , Trevor Darrell
John W. Fisher III , Trevor Darrell
Javaan S. Chahl , Matthias O. Franz
Bruno A. Olshausen , Phil Sallee
Antonio Torralba , William T. Freeman
Marshall F. Tappen , William T. Freeman
Edward H. Adelson , Marshall F. Tappen
Edward H. Adelson , William T. Freeman
Geoffrey E. Hinton , Max Welling
Max Welling , Simon Osindero
Geoffrey E. Hinton , Simon Osindero
Michael S. Lewicki , Yan Karklin
Barbara Caputo , Gyuri Dork&oacute;
Ralph Gross , Stella X. Yu
Jianbo Shi , Stella X. Yu
Jianbo Shi , Ralph Gross
Christopher K. I. Williams , Michalis K. Titsias
Bhaskara Marthi , Hanna Pasula
Brian Milch , Hanna Pasula
Hanna Pasula , Stuart J. Russell
Hanna Pasula , Ilya Shpitser
Bhaskara Marthi , Brian Milch
Bhaskara Marthi , Stuart J. Russell
Bhaskara Marthi , Ilya Shpitser
Brian Milch , Stuart J. Russell
Brian Milch , Ilya Shpitser
Ilya Shpitser , Stuart J. Russell
Anton Schwaighofer , Volker Tresp
Anton Schwaighofer , Peter Mayer
Alexander K. Scheel , Anton Schwaighofer
Anton Schwaighofer , Gerhard M&uuml;ller
Peter Mayer , Volker Tresp
Alexander K. Scheel , Volker Tresp
Gerhard M&uuml;ller , Volker Tresp
Alexander K. Scheel , Peter Mayer
Gerhard M&uuml;ller , Peter Mayer
Alexander K. Scheel , Gerhard M&uuml;ller
